ID,Target,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Average,Exists,Probability
0,0.23,0.58,0.82,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.7,1,0.990986701347152
3,0.12,0.1,0.14,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.12000000000000001,0,0.5
4,0.3,0.47,0.71,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.59,1,0.9478464369215823
5,0.25,0.43,0.48,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.45499999999999996,1,0.8859476187202091
6,0.35,0.52,1.25,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.885,1,0.9952742873976046
7,0.29,0.42,0.45,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.435,1,0.8099984339846871
8,0.57,0.96,0.94,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.95,1,0.9781187290638694
9,0.09,0.23,0.23,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.23,1,0.8021838885585818
10,0.1,0.06,0.23,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.14500000000000002,1,0.610639233949222
11,0.23,0.25,0.34,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.29500000000000004,1,0.6570104626734988
12,0.6,0.66,0.97,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.815,1,0.8956687768809987
13,0.06,0.12,0.05,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.08499999999999999,1,0.5621765008857981
14,0.43,0.5,0.47,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.485,1,0.6341355910108007
15,0.14,0.18,0.28,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.23,1,0.7109495026250039
16,0.28,0.26,0.36,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.31,1,0.5744425168116589
17,0.3,0.4,0.46,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.43000000000000005,1,0.7858349830425586
18,0.18,0.23,0.17,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.1,0.2,1,0.549833997312478
19,0.34,0.38,0.41,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.13,0.395,1,0.6341355910108007
20,0.01,0.07,0.18,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.125,1,0.759510916949111
21,0.06,0.18,0.06,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.12,1,0.6456563062257954
22,0.3,0.23,0.21,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.22,0,0.3100255188723876
23,0.45,0.7,0.62,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.6599999999999999,1,0.890903178804387
24,0.22,0.4,0.31,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.355,1,0.7941296281990525
25,0.04,0.03,0.02,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.025,0,0.46257015465625045
26,0.14,0.18,0.43,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.305,1,0.8388910504234147
27,0.05,0.03,0.04,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.035,0,0.46257015465625045
28,0.19,0.13,0.25,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.19,0,0.5
29,0.81,0.69,0.77,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.73,0,0.3100255188723874
30,0.1,0.07,0.43,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.25,1,0.8175744761936437
31,0.12,0.19,0.26,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.225,1,0.740774899182154
33,0.14,0.06,0.12,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.09,0,0.3775406687981454
34,0.4,0.44,0.38,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.41000000000000003,1,0.52497918747894
35,0.26,0.24,0.2,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.22,0,0.401312339887548
36,0.09,0.08,0.1,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.09,0,0.5
38,0.74,0.36,0.41,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.385,0,0.027922573784073024
39,0.19,0.09,0.18,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.135,0,0.36586440898919936
41,0.16,0.26,0.26,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.26,1,0.7310585786300049
42,0.17,0.16,0.19,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.175,1,0.5124973964842103
45,0.49,0.71,0.77,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.74,1,0.9241418199787566
47,0.25,1.17,0.17,Inconclusive,Inconclusive,0.97,Inconclusive,Inconclusive,0.7699999999999999,1,0.9945137011005495
48,1.61,0.01,0.02,Inconclusive,Inconclusive,0.97,0.07,0.08,0.2675,0,1.4777328870269657e-06
49,0.14,0.45,0.29,Inconclusive,Inconclusive,Inconclusive,0.07,0.08,0.27,1,0.7858349830425586
50,0.17,0.15,0.13,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.14,0,0.4255574831883411
52,0.24,0.24,0.28,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.26,1,0.549833997312478
54,0.39,0.55,0.47,Inconclusive,Inconclusive,Inconclusive,0.73,0.17,0.5833333333333334,1,0.8736179106419871
55,0.2,0.21,0.17,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.19,0,0.47502081252106
56,0.02,0.07,0.09,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.08,1,0.6456563062257954
57,0.08,0.07,0.06,0.12,0.68,0.34,0.14,0.12,0.23500000000000001,1,0.8249137318359602
58,0.43,0.5,0.51,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.505,1,0.6791786991753931
59,0.18,0.2,0.2,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.2,1,0.549833997312478
62,0.45,0.65,0.52,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.585,1,0.7941296281990525
63,0.05,0.07,Inconclusive,Inconclusive,Inconclusive,0.7,0.06,0.05,0.27666666666666667,1,0.9060785039807289
64,0.41,0.52,0.46,0.1,1.32,Inconclusive,Inconclusive,Inconclusive,0.6000000000000001,1,0.8698915256370023
65,0.3,0.37,0.27,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.32,1,0.549833997312478
66,0.48,0.7,0.81,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.755,1,0.9399133498259924
67,0.49,0.59,0.52,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.5549999999999999,1,0.6570104626734987
70,0.12,Inconclusive,0.13,0.07,0.03,Inconclusive,Inconclusive,Inconclusive,0.07666666666666667,0,0.39333064389178857
72,0.6,0.5,0.42,0.08,Inconclusive,0.19,Inconclusive,Inconclusive,0.2975,0,0.046309149848500375
73,0.25,0.32,0.3,Inconclusive,0.18,Inconclusive,0.13,0.04,0.2325,0,0.4563613127629212
75,0.0,0.04,0.04,Inconclusive,Inconclusive,0.5,0.13,0.2,0.1775,1,0.8550783685121771
76,0.1,0.09,0.05,0.09,0.16,0.41,0.1,Inconclusive,0.15,1,0.6224593312018546
77,0.07,0.06,0.04,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.05,0,0.45016600268752216
79,0.03,0.02,0.04,0.37,0.7,Inconclusive,Inconclusive,Inconclusive,0.2825,1,0.9258759348093368
82,0.26,0.3,0.12,Inconclusive,Inconclusive,Inconclusive,0.04,0.06,0.15333333333333332,0,0.25603750867524194
83,0.18,0.2,0.2,0.04,0.08,2.24,0.4,0.15,0.5266666666666667,1,0.9697243080130495
86,0.13,0.18,0.15,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.16499999999999998,1,0.5866175789173299
87,0.1,0.15,0.18,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.16499999999999998,1,0.6570104626734987
90,0.11,0.09,0.13,Inconclusive,Inconclusive,Inconclusive,0.04,0.13,0.08666666666666667,0,0.4419298941260467
91,0.05,0.1,0.06,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.08,1,0.574442516811659
93,0.15,0.14,0.18,0.82,0.56,Inconclusive,0.18,0.13,0.376,1,0.9055096310498407
96,0.16,0.19,0.22,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.20500000000000002,1,0.610639233949222
98,0.27,0.35,0.45,0.08,0.19,Inconclusive,Inconclusive,Inconclusive,0.2675,0,0.49375032550048964
99,0.37,0.35,0.41,Inconclusive,Inconclusive,1.57,0.32,0.38,0.6625,1,0.9490685297470565
102,0.27,0.23,0.25,0.81,0.89,Inconclusive,Inconclusive,Inconclusive,0.545,1,0.9399133498259924
103,0.05,0.16,0.26,Inconclusive,Inconclusive,0.11,0.1,0.07,0.1575,1,0.7455466141264027
105,0.11,0.44,0.25,Inconclusive,Inconclusive,0.2,0.07,0.07,0.24,1,0.7858349830425586
107,0.12,0.06,0.06,0.06,0.31,Inconclusive,Inconclusive,Inconclusive,0.1225,1,0.5062496744995104
108,0.16,0.12,0.07,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.095,0,0.34298953732650117
109,0.49,0.56,0.55,0.13,0.29,Inconclusive,Inconclusive,Inconclusive,0.38250000000000006,0,0.25445338587359745
110,0.76,0.64,0.88,Inconclusive,Inconclusive,2.23,0.04,0.4,0.9475,1,0.8670357598021706
111,0.24,0.28,0.26,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.27,1,0.574442516811659
112,0.89,1.16,1.25,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,1.205,1,0.958908721799535
114,0.06,0.06,0.07,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.065,1,0.5124973964842103
116,0.5,0.63,0.69,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.6599999999999999,1,0.8320183851339243
117,0.21,0.38,0.37,0.06,1.09,Inconclusive,0.0,0.22,0.38,1,0.8455347349164652
118,0.73,0.16,0.31,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.235,0,0.007033587154995159
120,0.06,0.18,0.14,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.16,1,0.7310585786300049
121,0.53,0.62,0.51,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.565,1,0.5866175789173299
122,0.32,0.26,0.29,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.275,0,0.389360766050778
124,0.08,0.1,0.02,Inconclusive,Inconclusive,0.19,Inconclusive,Inconclusive,0.10333333333333333,1,0.5580701058739532
125,0.09,0.09,0.2,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.14500000000000002,1,0.6341355910108007
128,0.16,0.49,0.5,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.495,1,0.9661048358408219
130,0.02,0.03,0.06,Inconclusive,Inconclusive,Inconclusive,0.0,0.16,0.03,1,0.5249791874789399
131,0.14,0.2,0.21,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.20500000000000002,1,0.6570104626734988
132,0.29,0.42,0.53,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.475,1,0.8641271029909058
133,0.16,0.17,0.17,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.17,1,0.52497918747894
134,0.41,0.44,0.61,0.0,0.34,0.16,0.04,0.04,0.265,0,0.19000156601531304
137,0.28,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.47,0.05,Inconclusive,0.26,0,0.45016600268752205
142,0.09,0.13,0.15,0.3,0.12,0.21,0.11,0.19,0.17,1,0.6899744811276125
145,0.17,0.14,0.25,Inconclusive,Inconclusive,Inconclusive,0.09,0.08,0.16,0,0.47502081252106
146,0.56,0.1,0.54,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.32,0,0.08317269649392235
147,0.63,0.76,1.29,0.32,0.48,0.94,0.0,0.01,0.6316666666666666,1,0.5041665702187282
148,0.26,0.21,0.22,Inconclusive,Inconclusive,Inconclusive,0.07,0.15,0.16666666666666666,0,0.28224894304225995
149,0.1,0.08,0.1,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.09,0,0.47502081252106
150,0.2,0.19,0.2,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.195,0,0.4875026035157896
151,0.24,0.28,0.32,0.51,0.98,2.16,0.1,0.05,0.725,1,0.9922324299219849
153,0.29,0.24,0.3,0.11,0.34,1.04,Inconclusive,Inconclusive,0.406,1,0.7613327148429105
154,0.46,0.41,0.36,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.385,0,0.320821300824607
157,0.18,0.23,0.22,0.15,0.83,0.4,0.03,0.08,0.31,1,0.7858349830425586
158,0.42,0.37,0.47,0.09,0.21,1.43,0.09,0.08,0.4433333333333333,1,0.5580701058739532
159,0.38,0.29,0.38,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.33499999999999996,0,0.3893607660507779
160,0.19,0.09,0.19,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.14,0,0.3775406687981454
161,0.15,0.03,0.06,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.045,0,0.259225100817846
162,0.22,0.3,0.28,0.08,1.22,0.97,0.1,0.08,0.49166666666666664,1,0.9380029718624232
163,0.21,0.23,0.22,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.225,1,0.5374298453437496
165,0.04,0.1,0.06,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.08,1,0.598687660112452
166,0.18,0.1,0.15,0.07,0.22,0.77,0.05,0.04,0.22666666666666668,1,0.6145944982675495
169,0.26,0.18,0.2,0.19,0.39,0.45,Inconclusive,Inconclusive,0.28200000000000003,1,0.5547792351072148
170,0.33,0.31,0.27,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.29000000000000004,0,0.401312339887548
171,0.19,0.21,0.31,0.06,0.78,0.63,0.41,0.43,0.4000000000000001,1,0.8909031788043871
173,0.03,0.03,0.06,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.045,1,0.5374298453437496
174,0.28,0.25,0.31,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.28,0,0.5
176,0.07,0.08,0.09,0.79,5.7,3.23,0.54,0.19,1.7383333333333333,1,0.9999999431774959
178,0.7,0.86,1.09,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.9750000000000001,1,0.9399133498259924
179,0.07,0.19,0.21,2.26,3.12,4.43,0.12,0.2,1.7216666666666665,1,0.9999999328721437
181,0.76,0.96,1.32,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,1.1400000000000001,1,0.9781187290638694
183,0.17,0.08,0.09,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.08499999999999999,0,0.29943285752602705
184,0.32,0.3,0.31,2.39,5.66,3.44,0.0,0.21,2.0166666666666666,1,0.9999999571973882
186,0.18,0.37,0.69,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.53,1,0.9706877692486436
187,0.71,0.92,1.29,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,1.105,1,0.9811090380629609
191,0.72,0.95,1.21,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,1.08,1,0.973403006423134
194,0.26,0.23,0.25,1.4,7.43,11.66,0.11,0.95,3.513333333333333,1,0.9999999999999927
196,1.05,1.08,1.07,2.26,Inconclusive,5.95,Inconclusive,Inconclusive,2.59,1,0.9999997949475846
197,1.02,1.06,1.09,1.73,7.87,4.98,0.41,1.59,2.856666666666667,1,0.9999999894450055
198,0.23,0.34,0.35,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.345,1,0.759510916949111
199,0.83,0.47,0.41,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.43999999999999995,0,0.0198403057340775
201,0.34,0.41,0.16,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.285,0,0.3658644089891992
202,0.71,2.39,0.86,0.76,1.91,1.42,0.19,0.49,1.2550000000000001,1,0.9957220745802952
203,0.78,0.99,1.89,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,1.44,1,0.9986414800495711
204,0.53,1.0,0.86,2.56,7.7,5.36,0.22,0.42,2.9499999999999997,1,0.9999999999690918
205,1.8,1.05,0.81,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.93,0,0.00016655806477733606
207,0.16,0.19,0.13,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.16,0,0.5
208,0.73,0.41,1.09,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.75,1,0.549833997312478
211,0.7,0.76,0.95,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.855,1,0.8249137318359602
212,0.38,0.19,1.4,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.7949999999999999,1,0.9844802434215911
213,0.18,0.15,0.21,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.18,0,0.5
214,0.25,0.16,0.22,Inconclusive,Inconclusive,Inconclusive,Inconclusive,Inconclusive,0.19,0,0.35434369377420455
